,gene,pLI,oe_lof,oe_lof_lower,oe_lof_upper
394,DIAPH1,0.91507,0.19730999999999999,0.125,0.32
395,LOC100289361,[],[],[],[]
396,NDUFAF5,3.1138e-10,0.80065,0.547,1.201
397,CAMSAP1,0.99985,0.13248,0.077,0.239
398,POLR1A,0.9998,0.1687,0.113,0.256
399,NRXN3,1.0,0.023512,0.007,0.112
400,SLC26A4,8.9898e-22,0.88638,0.676,1.175
401,NAGA,1.7703e-11,0.8784799999999999,0.606,1.303
402,IREB2,0.9999100000000001,0.11317999999999999,0.061,0.223
403,NGLY1,1.5117e-13,0.68474,0.501,0.95
404,PIEZO2,8.099200000000001e-07,0.28486,0.22,0.371
405,DHODH,0.0029884,0.41394,0.234,0.778
406,SHKBP1,7.8108e-08,0.48433999999999994,0.334,0.718
407,LYST,0.015026,0.23864000000000002,0.186,0.307
408,TRAF7,0.021818999999999998,0.27579000000000004,0.173,0.456
409,ATP8A1,0.1999,0.23313000000000003,0.16,0.346
410,PPP1R26,,,,
411,SAMM50,4.8795e-09,0.60249,0.415,0.893
412,MYLK,9.1706e-12,0.39808000000000004,0.303,0.528
413,BCL6B,0.046898,0.30065,0.164,0.593
414,ANP32B,0.9582700000000001,0.069731,0.024,0.331
415,UHRF1BP1L,0.004250199999999999,0.27455,0.187,0.412
416,CAPN6,0.81903,0.17223,0.084,0.394
417,COL6A3,1.8131000000000002e-20,0.4489,0.36,0.562
418,VPS13D,1.0748999999999999e-06,0.26529,0.213,0.332
419,BCAM,1.1031999999999999e-08,0.56301,0.388,0.835
420,COL4A2,3.5842e-15,0.4495,0.348,0.585
421,MIF4GD,6.7828e-09,0.9436,0.613,1.495
422,CHRNG,3.3338e-19,0.9652299999999999,0.718,1.316
423,KDM1A,0.9966700000000001,0.14687999999999998,0.083,0.276
424,POMC,0.00011658,0.74024,0.42,1.384
425,KDM6A,1.0,0.070167,0.034,0.161
426,SIRPG,3.4759999999999997e-15,1.227,0.861,1.747
427,WDR37,0.56642,0.2089,0.113,0.412
428,PKHD1,1.1656999999999998e-47,0.58027,0.495,0.681
429,SPTBN5,8.222399999999997e-118,0.9407700000000001,0.834,1.062
430,TELO2,7.2029e-14,0.67202,0.494,0.927
431,MORN3,1.5357000000000002e-07,0.80307,0.514,1.301
432,ITPKC,0.15241,0.25154,0.142,0.472
433,EFTUD1P1,[],[],[],[]
434,MYH2,3.6703000000000005e-23,0.54572,0.437,0.686
435,ADNP,1.0,0.025868000000000002,0.008,0.123
436,TPM2,0.00023947,0.47398,0.285,0.827
437,TMEM231,3.1399e-07,0.74844,0.479,1.213
438,USP1,0.9969100000000001,0.099271,0.044,0.257
439,CELSR1,0.9999399999999999,0.16835,0.115,0.25
440,CHRNB1,5.0456000000000005e-08,0.64653,0.432,0.996
441,NOVA1,0.99621,0.0,0.0,0.182
442,MUC16,8.270299999999998e-112,0.68108,0.611,0.759
443,ECEL1,4.7923e-13,0.6026699999999999,0.443,0.831
444,PTPN5,0.0014227999999999999,0.33814,0.212,0.56
445,HCN4,0.9986700000000001,0.092366,0.041,0.239
446,PYROXD1,6.2976e-09,0.6441600000000001,0.44,0.966
447,NT5C,0.0027291999999999998,0.59716,0.311,1.252
448,NPHP1,1.241e-17,0.72937,0.552,0.975
449,CASK,1.0,0.0,0.0,0.073
450,KDM6B,1.0,0.061331,0.029,0.14
451,CHRNA2,6.453200000000001e-10,0.8291200000000001,0.56,1.259
452,NAGLU,1.3654999999999999e-08,0.60213,0.411,0.903
453,PCOLCE2,5.4571e-11,0.8236100000000001,0.568,1.221
454,BGN,0.45228999999999997,0.20232999999999998,0.082,0.637
455,SBF1,0.9993299999999999,0.1746,0.117,0.265
456,PUM1,1.0,0.049979,0.022,0.129
457,MICAL2,2.1766e-12,0.5032800000000001,0.374,0.686
458,LRP2,0.9999899999999999,0.19529000000000002,0.154,0.249
459,TTC7A,1.5359000000000002e-31,1.0074,0.796,1.285
460,DVL2,1.3575999999999998e-05,0.42021000000000003,0.277,0.657
461,FOXE1,0.79203,0.0,0.0,0.576
462,PAPOLG,0.9979,0.13488,0.073,0.266
463,OTOP2,3.5925e-14,0.97491,0.69,1.404
464,IFIH1,6.9819e-44,1.2467,1.01,1.548
465,NRSN1,0.00030819,0.77104,0.421,1.499
466,ZNF292,1.0,0.074664,0.041,0.14
467,PKD1,1.0,0.12050999999999999,0.082,0.179
468,SKI,0.9990100000000001,0.040872000000000006,0.014,0.194
469,CSNK2A1,0.98711,0.12992,0.063,0.297
470,ASXL1,1.2511e-14,0.58868,0.441,0.794
471,COL7A1,2.4411e-40,0.50351,0.427,0.595
472,SMG6,0.98164,0.18433,0.117,0.299
473,ITGB4,9.528700000000002e-19,0.50549,0.397,0.648
474,DBH,3.3352e-10,0.68461,0.477,1.005
475,SPOP,0.9992200000000001,0.0,0.0,0.144
476,ATP5H,0.00045999,0.70697,0.386,1.387
477,FRMD7,0.72983,0.1831,0.089,0.419
478,PDE4D,0.9998,0.079828,0.035,0.206
479,CYP11B1,8.245e-07,0.6007100000000001,0.39,0.955
480,ADAMTSL3,1.3662000000000002e-19,0.5073,0.401,0.647
481,FAM186A,8.3001e-27,0.63693,0.513,0.796
482,SEC14L5,5.092699999999999e-22,0.9391700000000001,0.714,1.25
483,CHMP4B,0.9577100000000001,0.0,0.0,0.302
